,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
10095,663,1,5,3,5,캐나다, ,4,9,2,3,4,10,5, , , ,가족/친지,4,개별여행,16,4,5,5,4,4,5,4,3,2,4,5,3,4,3,4,1, , , , , , , ,14, , , , , , , , , , ,1, , , , ,6, , , , ,6,74,14,17,20,1,쇼핑,4,3,4,10,4,5,17,1157.793176,613.9812297,543.8119463
10096,664,2,3,2,1,캐나다, ,1,9,2, , ,1,6, , , ,직장동료,2,개별여행,3,3,5,5,5,5,9,5,4,5,5,5,5,5,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,23, , ,17,16, ,고궁/역사유적지방문,1,12, , ,21, , ,377.1598983,0.0,377.1598983
10097,665,1,4,2,7,캐나다, ,1,9,3, , ,5,1,17,10,9,가족/친지,2,개별여행,4,5,3,4,5,4,5,4,4,3,5,5,3,3,2,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,1,5,17,1,2,고궁/역사유적지방문,1,1, , ,8, , ,831.519,0.0,831.519
10142,713,2,5,1,5,캐나다, ,2,9,2,3, ,1,5, , , ,혼자,1,개별여행,6,5,4,4,5,5,5,5,5,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,3,136,20,1,18,자연경관감상,1,1,8, ,6,9,18,322.92,0.0,322.92
10143,715,1,4,2,5,캐나다, ,1,9,9, , ,12,5, , , ,친구/연인,2,개별여행,7,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,10,30,1,2,17,22,식도락,2,9, , ,6, , ,1453.14,726.57,726.57
10144,716,1,3,3,5,캐나다, ,2,9,3,1, ,4,1,3,6, ,혼자,1,개별여행,11,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1,4, , , , , , , , , , , ,5, , , , , ,1,2, , , , ,7, , , ,1,3,9,19,17,20,자연경관감상,1,1,3,5,8,10,18,1646.892,1485.432,161.46
10234,808,1,4,2,10,캐나다, ,1,9,3,2, ,1,1,7,9,11,가족/친지,3,개별여행,13,5,5,5,5,3,4,3,4,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,4,6,21,17,20,고궁/역사유적지방문,1,3,4,9,5,10, ,2421.9,0.0,2421.9
10255,833,2,3,2,1,캐나다, ,4,9,2, , ,2,7, , , ,혼자,1,개별여행,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5, , , , , , , , , , , , , ,5, , , , , , , , , , , ,7, , , ,107, , ,14, , ,연수/교육/연구,1,1, , ,10, , ,36.3285,36.3285,0.0
10256,834,2,2,2,2,캐나다, ,1,9,2,3, ,6,6, , , ,혼자,1,개별여행,4,4,4,4,5,4,3,3,4,2,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20,5,1,17,16,고궁/역사유적지방문,1,7, , ,1,7, ,200.0,0.0,200.0
10259,837,1,1,3,8,캐나다, ,1,9,1,3,2,2,1,1,3, ,가족/친지,2,개별여행,9,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1, ,8, , , , , ,14, , , , , , , , , , ,1, ,3, , ,6, , , , ,72,1,31,17,18,21,고궁/역사유적지방문,1,1,3,8,4,15,18,855.738,855.738,0.0
