,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
353,423,1,3, ,2,프랑스, ,2,2,2, , ,3,6, , , ,혼자,1,개별여행,4,4,4,4,4,4,3,3,3,3,3,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,1, ,업무수행,1,1, , ,11, , ,394.6497377,394.6497377,0.0
383,150,2,1,3,2,프랑스, ,1,11,3,4,5,2,1,1,7,3,친구/연인,2,개별여행,4,5,4,4,4,4,5,5,4,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,5,4,17,2,18,고궁/역사유적지방문,1,1,3,7,5,6, ,756.405,698.22,58.185
386,176,1,4,2,2,프랑스, ,40,11,9, , ,3,6, , , ,직장동료,2,개별여행,3,3,5,5,5,3,4,3,3,2,3,5,4,4,5,4, , , , , , , , , , ,3, , , , , , , , , , , , , ,6, , , , ,91, , ,16, , ,업무수행,1,9, , ,20, , ,837.864,0.0,837.864
394,539,2,3,2,2,프랑스, ,10,12,9, , ,6,6, , , ,직장동료,5,개별여행,5,5,5,5,5,5,4,3,3,3,4,5,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,12, , ,16,2,1,식도락,1,1, , ,5,12, ,1307.79,1307.79,0.0
408,1837,1,2,2,3,프랑스, ,1,2,3,2,4,4,1,1,8,11,친구/연인,2,단체여행,3,4,4,3,4,4,4,3,3,4,4,4,4,5,4,4, , , , , , , , ,14, , , ,2, , , , , , , , , , , ,6, , , , ,72,99,103,18,13,1,시찰(산업시설등),1,1,9, ,10,14,16,882.657478,424.3545567,458.3029213
412,664,1,3,3,2,프랑스, ,20,3,2,3,6,1,6, , , ,혼자,1,개별여행,5,5,3,5,5,4,9,3,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16, , ,업무수행,1,12, , ,21, , ,2156.395,2156.395,0.0
414,801,1,1,2,8,프랑스, ,2,5,3,4,7,1,1,9,4,6,혼자,1,개별여행,7,5,4,5,5,5,4,4,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,1,5,7,1,17,유흥.오락,2,7,10, ,5, , ,207.252,87.264,119.988
424,21,2,1,2,4,프랑스, ,1,10,1,3,4,3,1,1,3,4,혼자,1,개별여행,24,5,5,5,5,5,5,4,5,4,4,5,4,5,4,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,124,1,9,22,17,18,고궁/역사유적지방문,2,3,7, ,4, , ,2269.215,1629.18,640.035
441,1181,1,4,2,2,프랑스, ,1,1,9, , ,2,6, , , ,혼자,1,개별여행,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,11, ,16,15, ,업무수행,1,3, , ,13, , ,512.0,512.0,0.0
442,1182,1,4,2,2,프랑스, ,30,1,9, , ,1,6, , , ,혼자,1,개별여행,2,4,4,4,5,3,9,4,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,7, ,16, , ,업무수행,1,12, , ,21, , ,203.058879,203.058879,0.0
