,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
622,668,2,2,2,5,러시아, ,1,8,3,5,7,3,5, , , ,혼자,1,개별여행,18,4,3,4,4,4,4,5,5,3,3,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,10,11,18,22,17,휴양/휴식,4,1,10, ,3,5,8,996.0,0.0,996.0
659,687,1,1,2,2,러시아,3,1,2,3,2,5,9,1,11,17, ,친구/연인,6,개별여행,2,3,5,5,4,4,9,3,2,2,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3,5,17,7, ,고궁/역사유적지방문,1, , , , , , ,1273.06367,0.0,1273.06367
660,496,2,1,2,5,러시아, ,1,3,2,3,1,1,2,3,6,14,가족/친지,2,개별여행,7,4,4,3,4,3,4,4,4,2,3,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,7,38,1,17,6,고궁/역사유적지방문,1,3,10, ,4,5, ,5350.0,0.0,5350.0
662,323,2,1,2,3,러시아, ,1,4,3,2,5,6,1,5,3,12,친구/연인,2,개별여행,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,3,17,18,2,고궁/역사유적지방문,1,1,7,9,5,6,11,850.0,350.0,500.0
663,328,2,1,2,2,러시아, ,10,4,3,4, ,3,1,6,2,3,가족/친지,2,개별여행,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,9,17,2,9,고궁/역사유적지방문,1,2,7, ,3,5,7,250.5363,87.90745104,162.6287844
682,759,1,1,3,3,러시아, ,1,1,3,2,7,1,1,7,9,16,가족/친지,2,개별여행,4,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1,8,1,18,17,고궁/역사유적지방문,1,7, , ,5,4,9,1450.0,1300.0,150.0
683,766,2,1,3,3,러시아, ,5,1,2, , ,2,5, , , ,혼자,1,개별여행,2,5,5,5,5,5,9,5,5,4,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,4,23,7,기타,4,12, , ,21, , ,48.73413095,0.0,48.73413095
695,141,2,3,2,2,러시아, ,3,3,3,2,4,5,5, , , ,가족/친지,4,개별여행,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,2,7,22,1,9,전통문화체험,4,1, , ,1, , ,1800.0,1000.0,800.0
697,489,1,1,2,4,러시아, ,15,3,1,2, ,6,8, , , ,혼자,1,개별여행,1,4,5,4,9,4,4,4,5,4,3,4,4,4,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,17, , ,고궁/역사유적지방문, ,1, , ,10,11, ,50.0,0.0,50.0
735,369,2,3,2,3,러시아, ,1,11,2,3, ,1,1,3,16,4,가족/친지,2,개별여행,2,5,5,5,5,5,5,4,4,4,4,5,4,5,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24,22, ,1,4,2,휴양/휴식,1,1,2, ,5, , ,1200.0,1200.0,0.0
