,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
6987,525,1,0,2,1,인도, ,1,6,2,3,7,4,7, , , ,혼자,1,개별여행,120,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,4,8, , , ,11, , , , , , , , ,13, , , ,1,2,3, ,5, ,7, , , ,64,28,31,20,18,14,박물관/전시관방문,1,10, , ,9,16,17,1400.0,0.0,1400.0
6988,526,1,2,3,2,인도, ,3,6,9, , ,1,6, , , ,친구/연인,4,개별여행,13,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,28,4,5,16,18,9,업무수행,2,1,6,7,1,5,8,800.0,0.0,800.0
7064,616,1,1,2,5,인도, ,2,6,2,3, ,1,6, , , ,직장동료,3,개별여행,41,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,28,29, ,17,16,15,고궁/역사유적지방문,2,12, , ,21, , ,924.9932,0.0,924.9932115
7114,674,1,2,2,5,인도, ,1,6,4,2,3,2,6, , , ,혼자,1,개별여행,6,5,5,5,4,3,4,5,5,3,4,5,4,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2, ,15,17,20,미팅/회의/학술대회/박람회참가,2,12, , ,21, , ,270.0,200.0,70.0
7115,675,1,2,2,2,인도, ,1,6,3,2, ,2,6, , , ,혼자,1,개별여행,6,4,4,3,5,5,4,4,2,3,3,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,1,15,2,17,고궁/역사유적지방문,1,12, , ,21, , ,460.0,460.0,0.0
7130,695,1,2,2,5,인도, ,4,6,2, , ,1,6, , , ,혼자,1,개별여행,29,4,5,5,4,2,4,4,4,3,3,5,4,4,2,4, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,29,36, ,16,15, ,미팅/회의/학술대회/박람회참가,1,12, , ,21, , ,7230.0,7230.0,0.0
7278,869,1,3,3,7,인도, ,1,6,3, , ,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,4,5,4,3,3,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,1, , ,10,11, ,800.0,0.0,800.0
7281,872,1,5,2,2,인도, ,1,6,3,7, ,7,6, , , ,혼자,1,개별여행,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,1,3,16,온천/스파,1,1,3, ,11,12,17,210.0,0.0,210.0
7512,1849,1,2,3,2,인도, ,1,6,3,2, ,3,6, , , ,혼자,1,개별여행,7,5,4,4,5,5,5,4,4,4,5,5,5,4,5,4, , , , , , , , ,14, , ,7,2, , , , , , , , , , , ,6, , , , ,72,95,94,16,18,17,고궁/역사유적지방문,1,1, , ,8,11,12,1642.3885,1467.200406,175.1881082
7513,1850,1,3,2,7,인도, ,1,6,3, , ,2,6, , , ,직장동료,2,개별여행,4,4,4,4,4,4,5,5,4,3,3,4,4,4,4,4, , , , , , , , , , , ,7,2, , , , , , , , , , , ,6, , , , ,95,99, ,16,1, ,업무수행,1,1, , ,1,5,10,1038.5,0.0,1038.5
