,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
247,1067,1,2,3,2,영국, ,2,1,3, , ,4,6, , , ,혼자,1,개별여행,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,20, ,1,3,10,쇼핑,1,1,9, ,5,10,12,100.0,50.0,50.0
249,1292,2,3,3,5,영국, ,1,1,8, , ,36,6, , , ,혼자,1,개별여행,13,5,5,5,5,5,5,5,5,1,5,5,3,4,5,5,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,20,1,2,3,17,1,온천/스파,1,1,3,7,4,5,7,1258.96505,812.2355158,446.7295337
264,887,1,2,2,5,영국, ,5,12,1,3,2,2,5, , , ,혼자,1,개별여행,11,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,1,4,17,9,1,테마파크,4,1,3,4,3,4, ,452.0713911,0.0,452.0713911
265,1367,2,4,2,10,영국, ,1,1,2,3,4,4,5, , , ,가족/친지,2,개별여행,7,5,5,5,5,3,5,5,5,5,5,5,3,5,1,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,9,1,17,20,1,고궁/역사유적지방문,1,4,5,8,4, , ,872.59,553.05,319.54
273,61,1,2,3,2,영국, ,10,5,9, , ,1,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,9,3,4,2,5,5,5,5,5,5,1, , , , , , , ,14, , , , , , , , , , ,1, , , , ,6, , , , ,136,20, ,16, , ,업무수행,1,12, , ,21, , ,564.8294,173.7936548,391.0357233
274,231,1,5,2,12,영국, ,50,5,9, , ,2,6, , , ,혼자,1,개별여행,5,4,4,5,5,5,9,4,4,4,4,5,5,5,5,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,39,40, ,16, , ,업무수행,1,12, , ,21, , ,370.0,0.0,370.0
288,74,1,2,1,2,영국, ,1,4,2,3,4,6,1,1,3,7,가족/친지,2,개별여행,5,5,5,4,4,5,5,4,5,5,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,14,19,17,21,고궁/역사유적지방문,1,3,5,7,4,9,10,749.94,249.98,499.96
306,706,1,3,3,3,영국, ,1,10,9, , ,2,6, , , ,혼자,1,개별여행,3,4,4,4,4,5,9,4,4,3,4,4,4,4,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16, , ,업무수행,1,12, , ,21, , ,500.0,30.0,470.0
350,267,1,3,3,4,영국, ,3,2,3, , ,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11, , ,16, , ,업무수행,1,12, , ,21, , ,2121.772784,1952.030961,169.7418227
351,387,1,3,2,4,영국, ,10,2,9, , ,1,6, , , ,혼자,1,개별여행,2,3,2,2,4,2,9,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , ,97, ,1, , , , , , , ,9, ,136, , ,16, , ,업무수행,1,12, , ,21, , ,466.7900124,466.7900124,0.0
356,367,2,1,3,12,영국, ,2,3,2,3,5,2,4,2,7, ,혼자,1,개별여행,3,4,5,5,4,3,4,4,4,3,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,19,8,1,17, ,쇼핑,1,3,5,7,4, , ,1597.18,860.02,737.16
360,391,1,1,2,12,영국, ,1,4,2, , ,10,1,6,3,16,가족/친지,2,개별여행,11,4,4,4,4,5,5,4,4,3,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,5,4,17,1,9,고궁/역사유적지방문,1,5,7, ,9,10, ,791.1671,0.0,791.1670593
364,883,2,2,2,3,영국, ,1,5,2, , ,10,5, , , ,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,22,3,23,17,1,기타,1,8, , ,5,11,18,451.8635,234.621434,217.2420685
393,538,1,1,2,8,영국, ,1,12,2,3, ,30,7, , , ,친구/연인,2,개별여행,118,5,5,5,4,5,5,5,4,5,5,5,3,5,2,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,13,12,1,14,20,17,박물관/전시관방문,5,7,8,9,10,11, ,5800.0,5000.0,800.0
400,855,1,5,3,10,영국, ,2,12,3,2, ,3,5, , , ,가족/친지,2,개별여행,6,4,3,4,5,5,4,3,3,3,5,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,19,10,3,18,17,2,전통문화체험,4,4, , ,6,9,10,810.0,0.0,810.0
402,1039,1,0,2,8,영국, ,1,1,3,2,4,2,1,7,10,4,혼자,1,에어텔여행,10,5,4,5,5,5,4,4,5,4,4,5,3,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,98,96,4,17,18,20,고궁/역사유적지방문,2,4,5,7,4,9,16,487.3413095,0.0,487.3413095
405,152,2,2,3,2,영국, ,4,2,4,3,7,18,6, , , ,직장동료,96,개별여행,5,4,5,5,5,4,4,5,5,4,5,4,3,4,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,3,1,1,17,22,고궁/역사유적지방문,1,8,9, ,6, , ,882.657478,594.0963794,288.5610986
406,153,1,4,2,5,영국, ,1,2,9, , ,1,6, , , ,직장동료,2,개별여행,3,5,5,3,5,4,3,3,3,5,4,4,3,4,3,4, , , , , , ,11, , , , , , , , , , , , , , , , ,5, , , , , ,64, , ,16,2, ,업무수행,1,1, , ,20, , ,254.612734,254.612734,0.0
433,866,1,1,2,4,영국, ,2,12,3,2, ,3,1,3,4, ,친구/연인,2,개별여행,6,5,5,5,4,4,5,5,5,3,3,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,20,2,1,7,식도락,4,3,7,11,3,4, ,810.0,675.0,135.0
448,1405,1,1,3,4,영국, ,1,1,3,2,7,7,5, , , ,친구/연인,3,개별여행,7,4,4,5,5,4,4,5,5,5,5,5,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,99,2,9,20,17,22,전통문화체험,1,1,9, ,5,12,15,294.96,61.45,233.51
461,466,2,2,2,2,영국, ,1,3,6,8, ,3,1,2,3,4,혼자,1,개별여행,11,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,30,2,1,17,20,21,고궁/역사유적지방문,1,3, , ,11,20, ,1130.0,630.0,500.0
474,1862,2,2,3,1,영국, ,1,3,2,4,3,5,5, , , ,혼자,1,개별여행,10,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1, , , , , , , , , , , ,2, ,12, ,16, , ,1, , , , ,6,7,8, , ,1,134,99,11,17,20,레포츠활동,2,4,8,9,4,10,18,1502.765088,343.4891629,1159.275925
532,1858,2,1,2,7,영국, ,1,8,3,2,4,3,1,10,11,16,친구/연인,2,개별여행,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,2,1,96,18,20,17,자연경관감상,2,5,7,9,4,6,18,761.3880016,437.5793113,323.8086903
544,1850,1,2,1,3,영국,2,1,9,1,4,5,2,1,1,3,11,가족/친지,2,개별여행,4,5,5,5,5,5,5,5,5,4,5,5,3,4,5,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,80,97,103,18,17,21,자연경관감상,1,1,9, ,5,6,19,1226.112,595.2,630.912
554,1039,2,0,2,8,영국, ,1,10,3,5,2,1,5, , , ,혼자,1,개별여행,7,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,14,17,3,2,1,17,식도락,1,3,8,9,4,5,9,784.523,0.0,784.523
555,1040,1,1,3,2,영국,1,1,10,3,2,4,3,1,4,10,12,친구/연인,2,개별여행,2,5,5,5,4,5,4,4,4,5,4,5,4,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,10,25,24,1,4,16,쇼핑,1,1,8, ,9,12,19,691.444,0.0,691.444
585,1066,1,3,2,6,영국, ,1,1,3, , ,3,1,17, , ,혼자,1,개별여행,2,4,4,9,4,4,3,5,5,5,5,5,3,4,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,3,1, ,온천/스파,1,1,9, ,4,5,10,40.61177579,0.0,40.61177579
588,1291,2,5,3,5,영국, ,2,1,3, , ,8,1,17, , ,혼자,1,개별여행,2,4,4,9,4,4,4,4,4,4,4,4,4,4,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,1,10, ,쇼핑,1,1, , ,10, , ,18.435,18.435,0.0
601,633,1,3,3,2,영국, ,1,3,9, , ,3,6, , , ,혼자,1,개별여행,4,4,4,4,5,4,9,4,4,3,4,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1,2,15,17,20,고궁/역사유적지방문,1,12, , ,21, , ,860.02,860.02,0.0
618,221,1,3,2,5,영국,3,1,8,2, , ,3,8, , , ,혼자,1,개별여행,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,25,24, ,2,1, ,식도락,1,9, , ,15, , ,330.275,158.532,171.743
621,644,1,5,3,12,영국, ,7,8,2,1, ,12,3,17, , ,혼자,1,개별여행,25,4,4,4,4,3,4,4,3,3,3,4,4,4,5,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3, ,15,7,1,미팅/회의/학술대회/박람회참가,4,1,8, ,2,14,18,262.5475868,0.0,262.5475868
781,1069,2,2,2,7,영국, ,1,3,3,7,1,1,1,11,2,7,가족/친지,5,에어텔여행,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,16,20,1,4,17,쇼핑,1,2,3,7,4,10,15,4594.167554,4551.231409,42.93614536
785,838,2,1,2,8,영국, ,1,6,2,8, ,12,7, , , ,친구/연인,2,개별여행,121,5,5,5,4,3,3,5,5,2,2,5,3,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,4,5,2,14,7,1,유흥.오락,3,3,6,10,4,7,15,1345.56,1345.56,0.0
848,58,2,1,3,5,영국, ,1,12,3,7,6,4,1,12,4,7,가족/친지,3,개별여행,2,4,5,5,4,5,4,3,4,4,5,5,2,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,20, ,4,3,21,온천/스파,2,9, , ,10, , ,121.5,67.5,54.0
935,754,2,2,2,2,영국, ,1,8,3,2,5,3,6, , , ,혼자,1,개별여행,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,20, ,16,15,14,미팅/회의/학술대회/박람회참가,1,10, , ,14, , ,383.119,330.275,52.844
950,732,1,2,2,2,영국, ,1,11,3, , ,9,1,1,13, ,혼자,1,개별여행,59,3,3,4,4,3,3,4,5,3,4,5,4,3,3,3,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,100,98,11,7,18,레포츠활동,2,7,8,9,4,9,16,1920.105,756.405,1163.7
964,381,1,3,3,2,영국,5,1,2,3,4,2,2,1,3,4,10,혼자,1,개별여행,4,5,5,5,4,5,4,5,4,4,4,5,4,4,4,4,1, , , , , , , ,14, , , , , , , , , , ,1, , , , ,6, , , , ,72,1,13,4,17,20,고궁/역사유적지방문,1,1,5, ,10, , ,479.31,479.31,0.0
965,382,1,1,3,2,영국,5,5,2,7,8, ,3,6, , , ,혼자,1,개별여행,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,17, ,16,18,7,유흥.오락,1,1, , ,5, , ,626.79,626.79,0.0
972,73,1,1,2,4,영국,5,1,4,3,2,5,2,1,3,4,1,혼자,1,개별여행,7,5,5,5,5,5,5,5,5,3,4,5,3,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,14,3,9,7,17,18,유흥.오락,2,4,7,8,9,10,11,562.455,274.978,287.477
993,438,1,3,2,2,영국,5,4,8,7, , ,3,6, , , ,혼자,1,개별여행,2,4,4,3,4,4,9,2,3,4,3,4,3,4,5,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,22, , ,16,13, ,업무수행,1,12, , ,21, , ,266.9233799,0.0,266.9233799
1005,300,1,1,1,8,영국, ,1,12,2,3, ,4,5, , , ,친구/연인,2,개별여행,6,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,2,14,40,7,20,1,박물관/전시관방문,4,9, , ,6, , ,316.4499738,0.0,316.4499738
1016,628,2,3,3,2,영국, ,4,2,1,3,2,3,6, , , ,친구/연인,2,개별여행,4,5,4,5,5,5,5,4,4,5,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,20, ,1,15, ,쇼핑,1,1,3,9,9,10, ,901.3290785,901.3290785,0.0
1018,744,1,4,2,2,영국, ,1,2,3,2, ,2,6, , , ,직장동료,2,개별여행,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,6,8, ,16,1, ,쇼핑,1,5, , ,4, , ,737.4,368.7,368.7
1037,384,1,2,3,2,영국, ,1,5,1, , ,4,6, , , ,혼자,1,개별여행,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,20, ,16, , ,업무수행,1,1, , ,6, , ,1575.508,0.0,1575.508
1073,999,1,4,3,2,영국, ,5,1,9, , ,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,9,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16,2,18,식도락,1,12, , ,21, , ,860.3,860.3,0.0
1075,1161,1,2,2,5,영국, ,1,1,2,3, ,2,1,3,5,11,혼자,1,개별여행,3,5,2,4,4,4,9,4,4,3,3,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,17,5,17,7,19,유흥.오락,1,12, , ,21, , ,614.5,430.15,184.35
1085,640,1,4,3,2,영국, ,4,3,2, , ,2,6, , , ,직장동료,3,개별여행,2,3,5,3,5,4,9,3,3,3,3,5,4,4,5,2,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,13, ,16, , ,업무수행,1,12, , ,21, , ,830.0,400.0,430.0
1095,833,1,1,2,8,영국, ,1,4,2,3,6,2,5, , , ,혼자,1,개별여행,5,5,5,5,5,3,5,5,5,1,2,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9,20,7,1,20,유흥.오락,4,4,5,7,4,10,12,587.453,0.0,587.453
1132,386,1,1,3,5,영국, ,1,11,4,2,3,4,1,7,4,16,친구/연인,2,개별여행,5,5,5,5,5,5,5,4,5,3,5,4,4,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,5,17,1,20,고궁/역사유적지방문,1,3,7, ,5, , ,185.1019383,158.6588042,26.44313404
1151,1035,1,1,2,4,영국, ,2,1,3, , ,60,6, , , ,혼자,1,개별여행,36,4,4,5,4,4,4,4,5,4,4,5,3,4,5,4,1, , ,9,6, , , , , ,3,7,2, , , ,16, , ,1, , ,4,5,6, ,8, , ,2,129,96,7,18,17,온천/스파,1,3,9,10,4,8,10,3932.8,860.3,3072.5
1170,388,2,3,2,2,영국, ,2,2,2, , ,2,6, , , ,직장동료,2,개별여행,3,5,5,5,5,5,9,4,4,4,4,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,12, , ,21, , ,430.15,368.7,61.45
