,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
10564,45,1,2,2,7,베트남, ,1,10,1,5,2,6,1,3,2, ,가족/친지,5,단체여행,5,5,5,5,4,4,3,4,4,3,3,4,4,4,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,8,12,1,2,1,17,쇼핑,1,1,5,9,3,4,5,880.0,0.0,880.0
10684,174,2,5,1,8,베트남, ,1,10,2,4,3,2,7, , , ,친구/연인,4,개별여행,10,4,4,5,3,2,5,5,4,3,3,5,4,4,4,5,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,4,7,5,14,18,1,연수/교육/연구,2,2,7,8,4,5,8,599.3777049,0.0,599.3777049
10685,175,1,1,3,3,베트남, ,1,10,3,2,7,8,1,1,2,4,직장동료,4,개별여행,7,4,4,4,4,5,4,4,5,4,3,4,4,4,4,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,17,5,2,1,18,식도락,1,1,5,7,4,5,8,1130.884699,0.0,1130.884699
10686,176,2,1,1,2,베트남, ,1,10,1,3, ,2,1,1,2,4,가족/친지,13,단체여행,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,5,17,1,2,고궁/역사유적지방문,1,4,5,7,1,7,9,2024.0,704.0,1320.0
10687,177,1,2,2,3,베트남, ,3,10,3,5,2,1,6, , , ,가족/친지,2,개별여행,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,4,29,48,18,1,17,자연경관감상,1,4,5,10,4,5,16,970.0,500.0,470.0
10688,178,2,2,1,1,베트남, ,1,10,1, , ,5,1,1,8,12,가족/친지,23,단체여행,5,5,5,4,4,4,3,5,3,3,3,5,4,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,28,8,17,4,2,식도락,1,2,5,7,8, , ,1650.0,0.0,1650.0
10689,179,2,1,3,3,베트남, ,1,10,3,5,2,24,1,13,7,1,혼자,1,개별여행,8,5,5,5,4,5,5,3,5,4,4,5,4,4,4,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,4,125,7,18,2,1,자연경관감상,1,4,9,10,4,5,19,555.3058148,0.0,555.3058148
10690,180,1,1,3,4,베트남, ,1,10,2,1,3,2,1,1,16,4,직장동료,13,단체여행,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,1,2,17,20,7,고궁/역사유적지방문,1,4,7,9,3,8,16,880.0,0.0,880.0
10691,181,1,3,3,3,베트남, ,1,10,1, , ,5,1,3,2,16,가족/친지,11,개별여행,4,4,3,3,4,4,4,4,4,2,4,5,4,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,4,6,2,7,2,1,쇼핑,1,1,2,5,5,8,10,1100.0,0.0,1100.0
10692,182,2,3,3,7,베트남, ,2,10,3,5,4,12,1,1,8,4,가족/친지,2,개별여행,5,4,4,4,4,4,4,4,4,2,3,4,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5,7,1,2,17,식도락,2,1,7,10,5,8,10,705.1502411,0.0,705.1502411
