,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
171,841,1,0,2,8,호주, ,1,12,3,2,5,4,1,2,4,7,가족/친지,2,개별여행,5,4,3,4,5,5,5,5,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,5,8,1,2,7,쇼핑,2,3,5,7,4,5,6,530.25,303.0,227.25
187,356,1,4,2,2,호주, ,19,11,1, , ,2,6, , , ,혼자,1,개별여행,5,3,1,4,3,3,9,4,4,2,2,5,4,4,5,2,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,12, , ,21, , ,706.652,652.885,53.767
190,1078,1,3,2,2,호주, ,5,1,2, , ,3,6, , , ,혼자,1,개별여행,6,5,5,5,5,5,9,5,5,5,5,5,3,4,4,3,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,20,54, ,14,16,15,연수/교육/연구,1,12, , ,21, , ,1000.0,1000.0,0.0
209,768,2,1,2,5,호주, ,1,8,4, , ,6,4,2, , ,친구/연인,4,개별여행,10,4,4,4,4,5,5,5,5,4,5,4,3,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,5,1,98,17,1,18,쇼핑,1,2,7, ,3,4,5,318.52,39.815,278.705
227,653,1,5,3,1,호주, ,2,5,2,1,7,3,1,17,16,10,가족/친지,2,개별여행,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,18, , ,자연경관감상,1,1,9, ,10, , ,262.99,262.99,0.0
229,260,1,1,2,5,호주, ,1,7,3, , ,6,8, , , ,혼자,1,개별여행,1,3,5,4,9,4,9,3,3,3,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136, , ,2, , ,식도락, ,12, , ,21, , ,38.47436325,0.0,38.47436325
241,66,1,2,3,5,호주, ,1,12,1, , ,8,1,17, , ,혼자,1,개별여행,2,3,3,2,2,4,4,4,4,3,3,3,3,2,3,3, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,22, , ,1, , ,쇼핑,1,1, , ,18, , ,75.75,37.875,37.875
242,129,1,2,2,5,호주, ,1,12,3, , ,4,1,7,4,16,가족/친지,5,개별여행,7,4,4,5,4,5,4,4,3,2,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,16,17,5,22,17,1,전통문화체험,4,3,7,8,4,10,11,757.5,0.0,757.5
244,544,1,1,2,6,호주, ,1,12,9, , ,3,1,17, , ,친구/연인,3,개별여행,1,3,4,4,9,4,9,3,5,4,3,4,3,4,3,3, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,136, , ,8, , ,카지노, ,12, , ,21, , ,37.875,0.0,37.875
262,166,1,1,2,1,호주, ,1,8,3,2,7,3,5, , , ,혼자,1,개별여행,8,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,4,20,18,7,20,박물관/전시관방문,4,8,9, ,4,18, ,437.965,0.0,437.965
272,1875,1,1,2,6,호주, ,1,4,3,2,1,6,1,9,11,16,친구/연인,2,개별여행,5,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,9,96,22,18,2,전통문화체험,2,2,4,9,4,16, ,867.198,304.28,562.918
283,532,1,1,2,5,호주, ,2,11,2, , ,3,5, , , ,친구/연인,2,개별여행,19,5,5,5,4,5,5,4,5,4,4,4,5,5,5,5,1, , , , , , , , ,15, , , , , , ,16, , ,1, , , , ,6, ,8, , ,85,135,9,2,1,5,유흥.오락,2,1,3, ,4,6,11,1190.555,729.695,460.86
287,457,1,4,2,2,호주, ,1,3,3, , ,2,6, , , ,혼자,1,개별여행,2,4,4,4,4,4,9,4,4,4,3,3,4,4,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,12, , ,21, , ,167.2,167.2,0.0
297,554,1,2,2,3,호주, ,1,8,3,2, ,6,1,3,16, ,친구/연인,2,개별여행,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,5,9,1,17,18,21,고궁/역사유적지방문,1,7, , ,4,5, ,1353.71,955.56,398.15
317,71,2,1,2,8,호주, ,3,7,3,2, ,6,5, , , ,가족/친지,2,개별여행,15,4,5,5,4,5,5,4,4,3,4,3,5,5,5,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,14,20,128,11,7,23,기타,2,7,11, ,5,15, ,2183.1,1034.1,1149.0
323,531,2,1,1,11,호주, ,1,11,3, , ,3,1,15,2, ,혼자,1,개별여행,26,5,5,4,5,4,5,3,3,3,3,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,5,7,6,5,1,의료관광,1,7, , ,4,5, ,1728.225,1536.2,192.025
329,353,2,1,3,12,호주, ,2,12,3,2, ,2,5, , , ,혼자,1,개별여행,6,5,4,5,5,4,5,3,4,3,4,5,3,4,4,1,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,97,96,16,1,20,17,박물관/전시관방문,1,9,10, ,4,5,6,909.0,454.5,454.5
336,458,1,4,3,1,호주, ,1,3,9, , ,6,6, , , ,혼자,1,개별여행,14,4,5,5,4,2,5,5,1,1,5,5,2,4,2,4,1, , ,9, , , , , , ,3, , , , , , , , ,1, , ,4, ,6, , , , ,51,8,89,10,12,1,스포츠활동,1,4,5,8,4,18, ,851.2,532.0,319.2
337,754,2,2,2,4,호주, ,1,3,2,3, ,5,1,2,4,3,가족/친지,7,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,16,8,1,17,2,쇼핑,1,5,7, ,5,10, ,1166.6,0.0,1166.6
