,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
66,261,1,1,2,4,미국, ,1,11,3,4,2,3,1,5,4,9,혼자,1,개별여행,7,5,5,5,5,5,9,3,3,3,5,5,3,5,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,13,9,20,22,17,18,전통문화체험,1,12, , ,21, , ,620.0,0.0,620.0
71,795,1,4,2,2,미국, ,8,6,3,7, ,1,6, , , ,혼자,1,개별여행,3,5,5,4,5,5,5,4,4,3,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,1,3, ,5, , ,650.0,650.0,0.0
73,491,1,3,3,2,미국, ,1,10,1, , ,1,6, , , ,혼자,1,개별여행,3,5,5,4,5,5,9,5,4,4,4,5,3,5,5,5,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,20,1,2,17,2, ,고궁/역사유적지방문,1,12, , ,21, , ,683.0,650.0,33.0
75,615,1,0,3,8,미국,7,1,6,2,3, ,2,1,4,2,7,가족/친지,3,개별여행,6,4,5,5,5,5,5,5,5,4,4,5,5,5,1,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,8,9,1,17,2,쇼핑,2,3,5, ,4, , ,430.0,0.0,430.0
76,900,2,3,2,2,미국, ,3,7,2, , ,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16,1, ,업무수행,1,3, , ,2, , ,1100.0,0.0,1100.0
84,267,1,1,2,8,미국, ,1,6,2,3, ,6,5, , , ,친구/연인,2,개별여행,8,5,5,4,5,5,5,5,4,4,1,5,4,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,1,2,9,7,18,17,유흥.오락,1,6,9, ,9,11, ,262.7822,87.59405412,175.1881082
89,717,1,2,2,2,미국,20,2,12,2,3, ,1,1,3,1,4,가족/친지,2,개별여행,11,5,5,4,5,5,5,5,4,3,5,5,5,5,5,5,1, , , , , , , , ,15, , , , , , , , , ,1, , , , ,6, , , , ,9,6,8,17,1,18,고궁/역사유적지방문,1,1,8,9,4,5,17,2000.0,1700.0,300.0
92,158,1,3,3,5,미국, ,1,3,3,5, ,1,1,5,4,7,혼자,1,개별여행,4,5,4,5,4,5,3,5,5,5,5,5,4,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,9,18,22,2,자연경관감상,1,1, , ,2, , ,550.0,400.0,150.0
97,373,1,1,2,5,미국, ,1,7,3,2,5,5,1,7,4,13,혼자,1,개별여행,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,1,7,17,1,7,유흥.오락,2,5,7, ,4,5, ,295.0,200.0,95.0
98,383,1,1,3,7,미국,1,1,9,3,2, ,5,1,4,6,3,혼자,1,개별여행,2,5,5,5,4,5,3,3,4,3,3,5,5,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136,20,12,7,2,5,유흥.오락,1,9, , ,18, , ,650.0,500.0,150.0
