,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
9163,778,1,3,3,5,인도네시아, ,2,8,3,6,1,3,6, , , ,직장동료,7,개별여행,6,5,4,5,5,5,5,5,5,4,3,5,4,5,4,5,1,4, ,9, , , ,17,14, , , , , , , , , , ,1,2, ,4,5,6, , , , ,4,48,1,15,1,18,식도락,1,2,5,8,4,8, ,1093.948278,0.0,1093.948278
9164,779,2,1,3,5,인도네시아, ,1,8,5,4,6,4,6, , , ,직장동료,7,개별여행,6,5,4,5,5,4,5,5,4,3,3,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,8,1,15,1,22,쇼핑,1,4,8,10,5,9,18,375.0,0.0,375.0
9165,780,2,1,2,12,인도네시아, ,1,8,3,2, ,12,1,2,1,13,직장동료,2,개별여행,10,4,4,5,5,4,4,4,3,4,3,3,5,4,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,13,1,2,4,휴양/휴식,2,3,4,5,5,4,19,750.0,225.0,525.0
9171,788,1,2,3,1,인도네시아, ,3,8,3,5,2,8,5, , , ,가족/친지,4,개별여행,10,5,4,5,5,3,4,4,4,3,3,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,5,18,17,1,자연경관감상,7,5,7,8,1,6,16,700.0,500.0,200.0
9193,816,2,1,2,9,인도네시아, ,1,8,2,3, ,2,5, , , ,가족/친지,3,개별여행,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,5,17,1, ,고궁/역사유적지방문,4,5,7, ,2,9, ,1400.253796,0.0,1400.253796
9194,817,1,3,3,5,인도네시아, ,1,8,3,1,2,10,7, , , ,혼자,1,개별여행,5,4,5,5,4,2,4,4,5,4,4,5,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,14,17,20,14,7,쇼핑,2,5,7,9,4,10,18,175.0317245,0.0,175.0317245
9229,853,1,1,2,1,인도네시아, ,2,8,2, , ,6,5, , , ,가족/친지,2,개별여행,13,4,3,4,3,3,4,5,5,3,4,5,4,5,4,4,1, , , , , , , , , ,3, ,2, , , , , , ,1, , , , ,6, , , , ,96,4,88,1,18,12,쇼핑,1,2,5,9,1,3,15,764.0134774,0.0,764.0134774
9491,1884,1,4,1,4,인도네시아, ,1,8,1,2, ,4,1,1,12,4,가족/친지,4,단체여행,3,4,4,4,4,5,5,4,3,3,4,4,4,4,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,83,84,103,2,18,3,식도락,1,1,9, ,6,7,10,113880.0,0.0,113880.0
9492,1885,1,5,1,8,인도네시아, ,2,8,2,3, ,1,5, , , ,가족/친지,2,개별여행,3,4,4,4,4,5,5,5,4,3,4,4,4,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96,97,99,18,2,17,자연경관감상,4,1,9, ,10,11,15,435.0,0.0,435.0
9595,108,1,1,2,1,인도네시아, ,1,9,3,2,8,7,4,2,15,13,가족/친지,2,개별여행,7,4,4,4,4,4,5,3,4,1,1,4,5,3,2,3,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,1,6,9,1,17,2,쇼핑,2,4,7,9,3,5,6,806.9467591,0.0,806.9467591
9596,109,1,2,2,7,인도네시아, ,1,9,5,2,3,2,1,3,7,1,가족/친지,5,개별여행,7,4,4,5,5,4,5,4,3,3,4,5,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,5,20,17,1,20,박물관/전시관방문,1,1,3,7,4,10,15,1162.5,1162.5,0.0
9635,149,1,3,2,6,인도네시아, ,2,9,2,3, ,6,7, , , ,직장동료,8,개별여행,7,4,3,4,4,3,4,4,4,3,3,4,3,4,4,4,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,1,5,6,14,1,2,시찰(산업시설등),1,4,7, ,8,10, ,789.4044382,0.0,789.4044382
9636,150,2,2,3,1,인도네시아, ,1,9,2,3,5,6,1,9,3,2,혼자,1,개별여행,7,5,5,5,5,3,5,4,4,3,4,4,4,4,3,4,1,4, , , , , , ,14, ,3, ,2, , , ,16, , ,1,2, , , ,6, ,8, , ,133,5,11,18,17,1,고궁/역사유적지방문,2,5,7,9,4,5,10,491.1849838,52.62696255,438.5580212
9637,151,1,2,3,1,인도네시아, ,1,9,5, , ,1,6, , , ,직장동료,4,개별여행,3,4,4,4,4,4,5,4,3,3,3,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,5,6,16,15,22,쇼핑,1,4,5,7,5,11,18,642.0489431,0.0,642.0489431
9665,183,1,2,3,1,인도네시아, ,1,9,3, , ,1,6, , , ,직장동료,6,개별여행,3,5,4,4,4,4,9,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,15, , ,미팅/회의/학술대회/박람회참가,1,12, , ,21, , ,230.0,230.0,0.0
