,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
798,165,1,3,4,7,싱가포르, ,10,12,3,5,2,2,1,8,10,4,가족/친지,5,개별여행,9,4,5,5,5,4,5,4,5,4,3,4,5,5,4,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,128,5,1,16,9,스포츠활동,1,4,7,9,4,5, ,1700.0,1000.0,700.0
836,772,1,1,3,5,싱가포르, ,20,3,2, , ,1,6, , , ,혼자,1,개별여행,5,5,4,4,4,4,4,4,4,3,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,15,20,업무수행,1,1, , ,15, , ,1399.485,793.632,605.853
837,283,2,2,2,3,싱가포르, ,2,4,1,3,5,2,1,1,8,2,가족/친지,2,단체여행,7,3,4,4,4,3,4,4,3,2,3,3,3,3,3,3,1, ,8, , , , , , , ,3, ,2, , , ,16, , ,1, ,3, , ,6, ,8, , ,28,125,99,18,1,9,자연경관감상,1,3,7,9,5,16, ,3284.145,2862.0,422.145
838,402,1,2,3,5,싱가포르,1,10,4,3,5,7,8,1,1,7,2,가족/친지,6,개별여행,10,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,98,99,1,18,19,자연경관감상,1,1,7, ,3,6,10,1287.9,0.0,1287.9
855,208,2,0,1,8,싱가포르, ,1,3,5,3,2,6,1,4,2,3,가족/친지,4,개별여행,8,4,4,4,5,5,5,4,4,4,4,4,4,5,4,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,1,4,1,2,9,식도락,2,3,4,7,5,6,13,1417.2,0.0,1417.2
861,723,2,2,2,2,싱가포르, ,2,5,2,3,5,2,1,1,4,2,가족/친지,2,개별여행,6,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,19,17,11,4,1,유흥.오락,1,4,7,10,4,10,14,716.5,0.0,716.5
865,512,2,0,1,8,싱가포르, ,1,6,3,7,2,6,1,2,4,13,가족/친지,2,개별여행,7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,7,8,1,19,20,쇼핑,1,7,9,10,4,6,19,1111.264,533.984,577.28
871,425,1,1,2,7,싱가포르, ,1,7,2,3,4,2,5, , , ,혼자,1,개별여행,12,4,4,5,4,4,3,4,4,4,4,5,4,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,3,96,7,4,7,18,유흥.오락,1,9, , ,3, , ,578.96,144.74,434.22
885,795,2,1,2,2,싱가포르, ,4,12,3,4,5,1,1,8,4,2,가족/친지,5,개별여행,10,4,3,4,4,5,5,5,4,3,3,4,3,5,5,5,1, ,8, , , , , , , , , ,2, , , , , , ,1, ,3, , ,6, , , , ,98,40,102,1,19,5,쇼핑,2,3,7,10,3,4,5,904.1427822,452.0713911,452.0713911
939,655,2,1,1,2,싱가포르, ,2,9,2,3, ,6,1,1,2,8,가족/친지,2,개별여행,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,11,17,1,18, ,자연경관감상,1,7, , ,4,5,10,907.002,368.7,538.302
