,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
808,451,2,2,2,4,대만, ,2,3,3,2, ,1,1,4,2,12,혼자,1,개별여행,7,4,4,4,4,5,5,3,3,4,2,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,9, ,2,1, ,식도락,4,10,11, ,4,9,14,800.0,0.0,800.0
815,711,2,1,2,11,대만, ,1,6,2,3,4,1,1,2,4,7,혼자,1,개별여행,2,4,5,3,4,4,5,4,4,4,4,4,4,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,136, ,1,2, ,식도락,2,1,7,10,4,5,10,322.04,232.4,89.64
816,758,2,1,2,12,대만, ,5,6,3,2, ,1,1,10,9,1,혼자,1,개별여행,3,4,5,5,5,4,4,5,4,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,12,14,18,20,1,자연경관감상,2,2,7,9,6,11, ,418.32,132.8,285.52
888,177,2,3,2,9,대만, ,1,1,3,5,2,1,1,1,7,2,가족/친지,4,개별여행,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,5,6,13,1,2,22,식도락,1,5,7,10,4,6,10,1390.5,0.0,1390.5
1069,190,2,1,3,8,대만, ,1,1,2,3,1,2,1,5,7,2,친구/연인,2,단체여행,7,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,17,5,6,1,17,8,쇼핑,1,7, , ,4,9, ,741.6,432.6,309.0
1109,361,1,2,2,4,대만, ,6,8,3,2,4,1,6, , , ,직장동료,5,개별여행,7,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,4, , , , , , ,14, ,3, , , , , , , , ,1,2, , , ,6, , , , ,5,6,91,15,2,1,쇼핑,1,1,7, ,5,9,10,787.6427603,568.8531046,218.7896556
1227,485,2,3,3,2,대만, ,10,7,1,2,3,1,1,3,2,5,가족/친지,11,단체여행,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,5,28,17,1,2,17,쇼핑,1,1,5,7,5,8,9,1246.4,820.0,426.4
1279,282,2,2,2,3,대만, ,3,1,1,2, ,3,1,3,7,9,가족/친지,4,에어텔여행,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,103,99,100,1,17,18,고궁/역사유적지방문,1,2,1,9,1,8,10,588.870749,588.870749,0.0
1340,1732,1,1,2,8,대만, ,5,2,2,3,4,5,1,8,7,5,혼자,1,개별여행,8,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,1,4, , , , , , ,14, ,3, , , , , , , , ,1,2, , , ,6, , , , ,72,14,10,1,2,7,유흥.오락,2,9,11, ,5,10,14,564.3915604,169.7418227,394.6497377
1365,810,2,1,2,4,대만, ,1,3,3,4,2,6,1,4,7,2,친구/연인,2,개별여행,5,5,5,5,5,4,5,5,3,4,4,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,12,19,5,1,2,7,식도락,1,2,5,6,4,5,10,1296.0,972.0,324.0
