,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
415,1858,2,1,2,8,말레이시아,2,1,5,3,2, ,3,1,7,1,10,친구/연인,2,개별여행,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,12,5,3,2,5,1,뷰티관광,2,1,9, ,4,5,10,878.18,0.0,878.18
457,119,1,1,2,4,말레이시아, ,1,3,3,7,4,10,1,3,2,4,가족/친지,7,개별여행,9,4,4,5,5,4,5,5,4,2,4,5,4,3,4,4,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,5,20,14,1,17,4,쇼핑,1,4,5,7,4,5,9,1717.445815,0.0,1717.445815
486,1853,1,3,2,2,말레이시아, ,3,4,9, , ,1,6, , , ,혼자,1,개별여행,3,4,5,5,4,4,3,3,4,5,4,4,4,4,4,4, , , , , , , , , , , ,7,2, , , , , , , , , , , ,6, , , , ,99,96,95,16,18,2,업무수행,1,1, , ,11,18, ,676.8874,351.6298041,325.2575688
497,1863,1,4,1,7,말레이시아, ,2,5,3,2, ,3,5, , , ,가족/친지,3,개별여행,6,5,4,4,4,3,4,5,4,4,4,4,4,4,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,79,96,98,18,4,2,자연경관감상,1,1,9, ,9,11,12,1640.81,808.85,831.96
519,1867,1,1,2,2,말레이시아, ,1,7,3,2,4,2,1,11,1,2,친구/연인,3,개별여행,4,5,4,4,5,5,4,4,5,5,5,5,4,5,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,96,79,80,18,21,1,자연경관감상,2,1,9,10,1,4,18,1435.0,500.0,935.0
520,1870,2,1,2,3,말레이시아, ,1,7,3,2, ,2,2,3,2,15,가족/친지,2,개별여행,4,4,5,4,4,4,3,3,3,3,4,4,3,4,4,4,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,5,3,4,6,18,2,의료관광,2,3,9, ,4,6,10,907.53,0.0,907.53
521,1871,2,3,2,6,말레이시아,2,1,7,1,3,2,1,1,1,3,4,친구/연인,2,개별여행,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5, , , , , , , , ,14,15, , ,2, , , , , , , , , , , ,6, , , , ,72,80,102,18,21,2,자연경관감상,2,2,9,10,5,12,18,780.0,500.0,280.0
545,1851,1,4,1,7,말레이시아, ,1,9,2,5,3,3,5, , , ,혼자,1,개별여행,3,4,5,5,5,5,4,4,4,3,4,4,3,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,102,103,97,2,18,21,식도락,4,9, , ,4,9,12,736.7774757,613.9812297,122.7962459
625,545,1,1,1,4,말레이시아, ,1,10,1,3,7,6,1,9,2,8,가족/친지,5,개별여행,9,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , ,16, , ,1, ,3, , , , ,8, , ,133,28,8,1,2,3,자연경관감상,1,1,3,7,1,3,5,1410.300482,528.8626808,881.4378013
656,1380,2,1,4,1,말레이시아,1,1,1,3,2,5,6,1,1,3,2,직장동료,3,개별여행,10,3,4,4,3,5,5,5,5,1,3,3,5,3,3,3,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,5,1,1,18,4,자연경관감상,1,3,4,5,2,4,6,1198.859621,0.0,1198.859621
