,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
550,1896,1,2,2,3,태국, ,1,9,1,3,4,2,1,5,11,9,가족/친지,2,개별여행,4,3,5,5,5,5,5,5,4,4,4,5,4,5,4,5, , , , , , , , ,14, , , ,2, , , , , , , , , , , ,6, , , , ,103,72,96,4,21,18,시티투어버스이용,1,1,9, ,8,10,12,745.5486361,350.846417,394.7022191
792,816,2,1,1,8,태국, ,2,5,3,2,5,6,2,15,8,5,혼자,1,개별여행,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,9,16,6,1,18,자연경관감상,1,4,6,7,4,5,16,2453.66,2324.52,129.14
853,735,2,1,2,6,태국,1,1,2,3,5,6,1,4,2,1,3,혼자,1,개별여행,6,5,5,5,5,4,5,5,5,4,4,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,13,2,1,17,20,쇼핑,2,1,7, ,1,3,5,1000.0,300.0,700.0
862,380,2,1,2,11,태국, ,1,6,3,4,6,12,7, , , ,혼자,1,개별여행,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , ,15,3, ,2, , , , , , ,1, , , , ,6, , , , ,18,7,85,1,18,21,자연경관감상,1,9, , ,4,5,8,2930.0,1465.0,1465.0
874,1898,2,1,2,3,태국, ,2,7,4,3,2,1,2,13,2,7,가족/친지,3,개별여행,4,5,4,4,5,5,5,5,4,4,4,5,4,4,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,9,4,19,1,5,2,뷰티관광,1,2,7,9,4,5,6,1872.78,1176.0,696.78
1014,563,2,1,2,3,태국, ,2,2,3,2,5,10,1,7,2,13,직장동료,4,개별여행,9,4,4,5,5,5,5,5,4,2,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,9,17,1,7,10,쇼핑,2,2,7,9,5, , ,980.964,490.482,490.482
1047,522,2,1,2,4,태국, ,1,6,2, , ,1,4, , , ,친구/연인,2,개별여행,15,4,3,3,4,5,4,4,4,4,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,4,28,1,2,7,식도락,4,4,5,7,3,4,5,322.3,0.0,322.3
1058,219,2,1,2,1,태국, ,1,9,3,2,4,6,1,3,1,2,친구/연인,2,개별여행,5,4,5,5,4,4,4,5,5,3,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,4,28,19,18,21,자연경관감상,2,1,2,4,4,5,10,929.743005,929.743005,0.0
1068,80,2,2,2,7,태국,5,1,12,3,1,2,10,1,2,1,8,혼자,1,개별여행,60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,22,9,5,1,6,2,쇼핑,4,4,6,7,4,5,8,4701.542468,4701.542468,0.0
1078,1574,2,2,2,3,태국, ,1,1,3,1,4,1,6, , , ,직장동료,2,개별여행,5,5,5,4,4,4,4,5,4,4,4,5,4,4,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,20,7,29,16,1,4,쇼핑,1,3, , ,4,10,5,915.12,460.35,454.77
